Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Hispanic or Latino,F,Seattle Dept of Human Resource,29,54.648,R,A
Hispanic or Latino,M,Finance & Admin Services,48,24.92,R,A
Hispanic or Latino,F,Parks & Recreation,27,18.69,T,A
Hispanic or Latino,F,Municipal Court,38,41.91,R,A
Hispanic or Latino,M,Parks & Recreation,24,23.32,T,A
Hispanic or Latino,F,Human Services Department,25,23.4,T,A
Hispanic or Latino,M,Information Technology,51,76.697,R,A
Hispanic or Latino,F,Human Services Department,32,37.84,R,A
Hispanic or Latino,F,Information Technology,28,44.14,R,A
Hispanic or Latino,M,Fire Department,36,34.81,R,A
Hispanic or Latino,F,Finance & Admin Services,41,24.11,R,A
Hispanic or Latino,M,Fire Department,39,48.56,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,54,36.31,R,A
Hispanic or Latino,M,Finance & Admin Services,66,53.082,R,A
Hispanic or Latino,F,Seattle Public Utilities,41,60.509,R,A
Hispanic or Latino,F,Municipal Court,39,57.49,T,A
Hispanic or Latino,M,Seattle Center,57,23.14,T,A
Hispanic or Latino,F,Education & Early Learning,54,35.79,R,A
Hispanic or Latino,M,Fire Department,45,35.05,R,A
Hispanic or Latino,F,Finance & Admin Services,46,40.86,R,A
Hispanic or Latino,M,Fire Department,37,47.31,R,A
Hispanic or Latino,M,Finance & Admin Services,33,44.95,R,A
Hispanic or Latino,F,Seattle Public Utilities,38,38.57,R,A
Hispanic or Latino,F,Construction & Inspections,42,33.78,R,A
Hispanic or Latino,M,Police Department,26,42.96,R,A
Hispanic or Latino,M,Finance & Admin Services,48,44.79,R,A
Hispanic or Latino,M,Seattle City Light,65,52.23,R,A
Hispanic or Latino,M,Fire Department,42,43.15,R,A
Hispanic or Latino,M,Finance & Admin Services,35,44.79,R,A
Hispanic or Latino,M,Seattle Public Utilities,26,41.66,R,A
Hispanic or Latino,M,Police Department,25,29.79,R,A
Hispanic or Latino,M,Police Department,28,45.96,R,A
Hispanic or Latino,F,Seattle Public Utilities,52,31.35,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,62,35.46,R,A
Hispanic or Latino,M,Seattle Center,43,23.14,T,A
Hispanic or Latino,M,Seattle City Light,47,61.86,R,A
Hispanic or Latino,M,Police Department,43,57.17,R,A
Hispanic or Latino,M,Construction & Inspections,28,66.617,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,59,57.87,R,A
Hispanic or Latino,M,Parks & Recreation,56,37.29,R,A
Hispanic or Latino,F,Office of Housing,24,41.66,R,A
Hispanic or Latino,M,Seattle City Light,61,61.02,R,A
Hispanic or Latino,M,Seattle Public Library,52,53.47,R,A
Hispanic or Latino,M,Seattle City Light,55,58.71,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,58,33.78,R,A
Hispanic or Latino,M,Seattle Public Utilities,44,52.343,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,29,56.5,R,A
Hispanic or Latino,M,Seattle Center,59,27.19,R,A
Hispanic or Latino,M,Seattle Public Utilities,38,33.75,R,A
Hispanic or Latino,M,Parks & Recreation,58,29.03,R,A
Hispanic or Latino,F,Seattle Center,46,25.58,T,A
Hispanic or Latino,M,Municipal Court,48,50.63,R,A
Hispanic or Latino,M,Neighborhoods,32,48.48,R,A
Hispanic or Latino,F,Police Department,49,39.68,R,A
Hispanic or Latino,F,Legislative Department,62,57.55,R,A
Hispanic or Latino,F,Education & Early Learning,33,28,R,A
Hispanic or Latino,M,Fire Department,43,36.9,R,A
Hispanic or Latino,F,City Auditor,62,83.4361,R,A
Hispanic or Latino,M,Parks & Recreation,55,30.09,R,A
Hispanic or Latino,M,Police Department,25,45.96,R,A
Hispanic or Latino,M,Fire Department,32,38.98,R,A
Hispanic or Latino,F,Seattle Center,61,36.05,T,A
Hispanic or Latino,F,Commnty Sfty and Comm Ctr Dept,47,36.31,R,A
Hispanic or Latino,F,Parks & Recreation,45,84.5,R,A
Hispanic or Latino,M,Parks & Recreation,46,34.08,R,A
Hispanic or Latino,M,Seattle Public Utilities,37,58.36,R,A
Hispanic or Latino,M,Police Department,44,61.36,R,A
Hispanic or Latino,M,Police Department,38,54.29,R,P
Hispanic or Latino,M,Seattle Center,39,51.7,R,A
Hispanic or Latino,F,Parks & Recreation,33,58.02,R,A
Hispanic or Latino,M,Seattle Public Utilities,56,41.61,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,34,35.4,R,A
Hispanic or Latino,F,Seattle Public Utilities,38,44.95,R,A
Hispanic or Latino,M,Parks & Recreation,20,18.69,T,A
Hispanic or Latino,M,Police Department,49,45.58,R,A
Hispanic or Latino,M,Police Department,30,33.44,R,A
Hispanic or Latino,M,Seattle City Light,51,71.8,R,A
Hispanic or Latino,M,Fire Department,54,51.7,R,A
Hispanic or Latino,M,Seattle City Light,26,33.36,R,A
Hispanic or Latino,M,Seattle City Light,24,23.4,T,A
Hispanic or Latino,M,Fire Department,58,54.61,R,A
Hispanic or Latino,M,Police Department,57,108.58,R,A
Hispanic or Latino,M,Seattle City Light,61,69.6,R,A
Hispanic or Latino,M,Seattle Public Library,67,47.64,R,A
Hispanic or Latino,M,Information Technology,26,44.14,R,A
Hispanic or Latino,F,Seattle Public Library,26,31.68,R,A
Hispanic or Latino,F,Police Department,38,40.06,R,A
Hispanic or Latino,M,Seattle City Light,63,36.36,R,A
Hispanic or Latino,M,Seattle Public Library,28,40.66,R,A
Hispanic or Latino,F,Parks & Recreation,34,25.58,T,A
Hispanic or Latino,M,Parks & Recreation,51,32.85,R,A
Hispanic or Latino,M,Parks & Recreation,28,20.75,T,A
Hispanic or Latino,F,Seattle Public Library,28,43.97,R,A
Hispanic or Latino,F,Police Department,31,47.69,R,A
Hispanic or Latino,M,Seattle City Light,43,61.86,R,A
Hispanic or Latino,M,Parks & Recreation,50,18.69,T,A
Hispanic or Latino,M,Parks & Recreation,44,33.33,R,A
Hispanic or Latino,M,Education & Early Learning,52,39.28,R,A
Hispanic or Latino,F,Seattle Public Utilities,28,23.4,T,A
Hispanic or Latino,F,Seattle Public Utilities,35,28.7,R,A
Hispanic or Latino,M,Police Department,51,60.58,R,A
Hispanic or Latino,M,Fire Department,30,41.72,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,28,41.66,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,36,56.52,R,A
Hispanic or Latino,M,Seattle City Light,54,48.31,R,A
Hispanic or Latino,M,Parks & Recreation,52,30.09,R,A
Hispanic or Latino,M,Seattle City Light,63,61.86,R,A
Hispanic or Latino,M,Human Services Department,44,61.8,R,A
Hispanic or Latino,F,Information Technology,30,45.75,R,A
Hispanic or Latino,F,Seattle Public Library,28,33.25,R,A
Hispanic or Latino,M,Seattle City Light,65,34.47,R,A
Hispanic or Latino,F,Seattle Dept of Transportation,21,19.09,T,A
Hispanic or Latino,M,Police Department,26,40.06,R,A
Hispanic or Latino,M,Police Department,56,34.05,R,A
Hispanic or Latino,F,Legislative Department,25,33.59,R,A
Hispanic or Latino,M,Seattle Dept of Transportation,27,18.69,R,A
Hispanic or Latino,F,Human Services Department,57,50.43,R,A
Hispanic or Latino,M,Finance & Admin Services,32,23.49,T,A
Hispanic or Latino,F,Office for Civil Rights,38,46.68,R,A
Hispanic or Latino,M,Parks & Recreation,43,18.69,T,A
Hispanic or Latino,F,Education & Early Learning,39,38.57,R,A
Hispanic or Latino,M,Seattle City Light,44,61,R,A
Hispanic or Latino,M,Fire Department,34,41.06,R,A
Hispanic or Latino,F,Education & Early Learning,31,35.05,R,A
Hispanic or Latino,M,Finance & Admin Services,52,43.49,R,A
Hispanic or Latino,F,Office of Labor Standards,52,65,R,A
Hispanic or Latino,M,Seattle City Light,27,46.68,R,A
Hispanic or Latino,F,Seattle Public Library,25,37.99,R,A
Hispanic or Latino,M,Fire Department,44,60.35,R,A
Hispanic or Latino,M,Seattle Center,40,36.05,T,A
